map_id,map_date,map_check_id,map_check_date,enl_id,pm_id,doi,status,author_name,pub_year,resolved,reason_for_exclusion,reason_for_contacting,follow_up,follow_up_author_name,email_address,has_been_contacted,permissions,extraction_initials,source_id1,source_id2,source_id3,country,admin1,admin2,admin3,site_name,area_type,rural_urban,lat,long,latlong_source,site_notes,aggregated_studies_count,month_start,year_start,month_end,year_end,lower_age,upper_age,examined,pf,pv,po,pm,pk,pf_pv,pf_po,pf_pm,pv_pm,pv_po,po_pm,pk_pf,pk_pv,pk_pm,pk_po,pf_pv_po,pf_pv_pm,pf_po_pm,pv_po_pm,pf_pv_pk,pf_po_pk,pf_pm_pk,pv_po_pk,pv_pm_pk,po_pm_pk,pf_pv_po_pm,pf_pan_positive,pv_pan_positive,pf_pv_pan_positive,pan_positive_only,species_disaggregated,pf_pr,pv_pr,po_pr,pm_pr,pk_pr,method,rdt_type,pcr_type,study_notes,dhs_survey_text_id,surveyid
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,ANDROY,,,MD201600000300,POINT,RURAL,-25.202867999999999,45.942314000000003,GPS,,,6,2016,6,2016,0.6,4,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,ANDROY,,,MD201600000299,POINT,URBAN,-25.234345999999999,46.085681999999998,GPS,,,6,2016,6,2016,0.5,4,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,ANDROY,,,MD201600000298,POINT,URBAN,-25.177351999999999,46.099311,GPS,,,6,2016,6,2016,1.1,4,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,ANDROY,,,MD201600000297,POINT,URBAN,-25.187363999999999,46.089179000000001,GPS,,,6,2016,6,2016,0.8,4,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,ANDROY,,,MD201600000296,POINT,URBAN,-25.061378000000001,46.067143000000002,GPS,,,5,2016,6,2016,0.8,4,38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,ANDROY,,,MD201600000295,POINT,RURAL,-25.309369,45.734395999999997,GPS,,,6,2016,6,2016,0.5,4,35,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,ANDROY,,,MD201600000294,POINT,RURAL,-25.476167,45.541981999999997,GPS,,,6,2016,6,2016,0.5,4,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,ANDROY,,,MD201600000293,POINT,RURAL,-25.137253000000001,45.387360999999999,GPS,,,5,2016,5,2016,0.9,4,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,ANDROY,,,MD201600000292,POINT,RURAL,-25.282737999999998,45.202325000000002,GPS,,,5,2016,5,2016,0.7,4,21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,ANDROY,,,MD201600000291,POINT,RURAL,-25.124815999999999,44.938521999999999,GPS,,,5,2016,5,2016,0.8,4,44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,ATSIMO ANDREFANA,,,MD201600000290,POINT,RURAL,-22.793271000000001,43.660933999999997,GPS,,,6,2016,6,2016,0.6,4,26,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0.46153846153846156,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,ATSIMO ANDREFANA,,,MD201600000289,POINT,RURAL,-23.656362999999999,43.649028000000001,GPS,,,5,2016,5,2016,0.9,4,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0.090909090909090912,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,ATSIMO ANDREFANA,,,MD201600000288,POINT,RURAL,-22.866962000000001,44.438488,GPS,,,5,2016,5,2016,0.9,4,18,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0.16666666666666666,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,ATSIMO ANDREFANA,,,MD201600000287,POINT,RURAL,-24.731762,43.988138999999997,GPS,,,5,2016,5,2016,0.9,4,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,ATSIMO ANDREFANA,,,MD201600000286,POINT,RURAL,-24.045501999999999,44.916454999999999,GPS,,,5,2016,5,2016,0.6,4,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0.055555555555555552,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,ATSIMO ANDREFANA,,,MD201600000285,POINT,RURAL,-25.186330000000002,44.458151999999998,GPS,,,5,2016,5,2016,0.7,4,20,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0.10000000000000001,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,ATSIMO ANDREFANA,,,MD201600000284,POINT,RURAL,-24.186385999999999,44.826492000000002,GPS,,,5,2016,5,2016,0.8,4,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,ATSIMO ANDREFANA,,,MD201600000283,POINT,RURAL,-24.405646000000001,44.466873999999997,GPS,,,5,2016,5,2016,0.6,4,25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0,,,,,RDT,,,,MD2016MIS,505
,,,,,,,,,,,,,,,,,,,7890,5680,,Madagascar,ATSIMO ANDREFANA,,,MD201600000282,POINT,RURAL,-24.411351,44.853482999999997,GPS,,,5,2016,5,2016,0.8,4,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,0,,,,,RDT,,,,MD2016MIS,505
